"","Algorithm","Mean_MSE","Min_MSE","Mean_R_squared","Max_R_squared","Mean_Time","Min_Time"
"1","DDAE-MLP",0.0162,0.0151,0.9688,0.9758,38.278,37.62
"2","DDAE-MLP_optimized",0.0171,0.0164,0.9777,0.9807,26.6156,23.09
"3","DDAE_MLP_Leaky_ReLU",0.0172,0.0168,0.9714,0.9788,33.428,30.7
"4","DVAE-MLP_Leaky_ReLU",0.0164,0.0159,0.9786,0.9808,53.2325,51.09
"5","DVAE-MLP_optimized",0.0163,0.0157,0.9801,0.9804,53.6555,48.64
"6","KNN_10",0.0148,0.014,0.9433,0.9541,0.0879,0.0853
"7","KNN_15",0.0149,0.0141,0.9436,0.9577,0.0866,0.0846
"8","KNN_20",0.0149,0.014,0.9426,0.9588,0.0871,0.0848
"9","KNN_25",0.015,0.0141,0.9413,0.9578,0.087,0.0851
"10","KNN_5",0.0153,0.0146,0.9451,0.9575,0.0871,0.0853
"11","Linear regression",0.0132,0.0125,0.982,0.9845,36.9867,35.51
"12","PCA_MLP",0.0142,0.0128,0.9653,0.9714,13.4899,13.1695
"13","PCA_Random Forest_estimator_10",0.0154,0.0147,0.9635,0.9789,36.0822,35.25
"14","PCA_Random Forest_estimator_100",0.0145,0.0142,0.9684,0.9787,252.3851,239.26
"15","PCA_Random Forest_estimator_150",0.0145,0.0142,0.9684,0.9782,373.584,353.73
"16","PCA_Random Forest_estimator_200",0.0145,0.014,0.9679,0.9781,502.8862,475.46
"17","PCA_Random Forest_estimator_50",0.0146,0.0143,0.968,0.9787,132.7146,130.04
"18","Ridge_alpha_0.01",0.0124,0.0112,0.9821,0.9845,5.5255,5.09
"19","Ridge_alpha_0.1",0.0124,0.0112,0.9821,0.9845,5.2281,4.83
"20","Ridge_alpha_0.5",0.0124,0.0112,0.9821,0.9845,5.469,4.98
"21","Ridge_alpha_1",0.0124,0.0112,0.9821,0.9845,5.4808,4.91
"22","Ridge_alpha_1.5",0.0124,0.0112,0.9821,0.9845,5.0555,4.9065
